Title,Authors,KU_Availability
The Practical Guide for Healing Developmental Trauma: Using the NeuroAffective Relational Model to Address Adverse Childhood Experiences and Resolve Complex Trauma,"Brad J. Kammer, Brad J. Kammer, Laurence Heller, Laurence Heller",Not Available
Lute,Jennifer Marie Thorne,Not Available
A Crane Among Wolves,June Hur,Available
Starling House,Alix E. Harrow,Not Available
Wed to the Alien Warlord,January Bell,Available
The Fireborne Blade,Charlotte Bond,Not Available
"The Courage To Be Disliked: How to free yourself, change your life and achieve real happiness","Ichiro Kishimi, Fumitake Koga",Not Available
All I Wanted Was to Become a Scientist But Now I've Got An Alien Boyfriend,Petra Palerno,Not Available
No Bad Parts: Healing Trauma and Restoring Wholeness with the Internal Family Systems Model,Richard C. Schwartz,Not Available
"The Heroine's Journey: For Writers, Readers, and Fans of Pop Culture",Gail Carriger,Not Available
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,Mark Wolynn,Not Available
With This Ring,Amanda Quick,Not Available
Accidental Saints: Finding God in All the Wrong People,Nadia Bolz-Weber,Not Available
Several People Are Typing,Calvin Kasulke,Not Available
The Past Is Red,Catherynne M. Valente,Not Available
The Last Unicorn,Peter S. Beagle,Not Available
Not Another Vampire Book,Cassandra Gannon,Available
Daughter of the Moon Goddess,Sue Lynn Tan,Not Available
Bastard's Honor,Elisabeth Wheatley,Not Available
Old Man's War,John Scalzi,Available
Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,Not Available
The Bone Houses,Emily Lloyd-Jones,Not Available
Legends & Lattes,Travis Baldree,Not Available
Vampires Never Say Die,Gloria Duke,Not Available
Never Split the Difference: Negotiating as If Your Life Depended on It,Chris Voss,Available
The Land of Open Graves: Living and Dying on the Migrant Trail,Jason De León,Not Available
I Got Abducted by Aliens and Now I'm Trapped in a Rom-Com,Kimberly Lemming,Not Available
Ne'er Duke Well,Alexandra Vasti,Available
The Bloody Chamber and Other Stories,Angela Carter,Not Available
The Book of the City of Ladies,Christine de Pizan,Not Available
Ring Shout,P. Djèlí Clark,Not Available
The White Owl of Thicklewood Hall,M.A. Knights,Available
My Roommate Is a Vampire,Jenna Levine,Not Available
Seven Days in June,Tia Williams,Not Available
Wild Faith: How the Christian Right Is Taking Over America,Talia Lavin,Not Available
The Spare Man,Mary Robinette Kowal,Not Available
The People in the Castle: Selected Strange Stories,Joan Aiken,Not Available
Gender Queer: A Memoir,Maia Kobabe,Not Available
Love on the Brain,Ali Hazelwood,Not Available
The Archer and the Prince,Emma Steinbrecher,Available
10 Minutes 38 Seconds in This Strange World,Elif Shafak,Not Available
The Lies of Locke Lamora,Scott Lynch,Not Available
Drunk on All Your Strange New Words,Eddie Robson,Not Available
The Warrior Midwife,E.P. Bali,Available
Quag Keep,Andre Norton,Not Available
A Darker Shade of Magic,V.E. Schwab,Not Available
The Lies of the Ajungo,Moses Ose Utomi,Not Available
Divergent Mind: Thriving in a World That Wasn't Designed for You,Jenara Nerenberg,Available
Firekeeper's Daughter,Angeline Boulley,Available
Station Eleven,Emily St. John Mandel,Not Available
"Self-Therapy: A Step-By-Step Guide to Creating Inner Wholeness Using IFS, a New, Cutting-Edge Therapy",Jay Earley,Not Available
The Art of Logic in an Illogical World,Eugenia Cheng,Not Available
Daughter of the Empire,"Raymond E. Feist, Janny Wurts",Not Available
Should You Believe Wikipedia?: Online Communities and the Construction of Knowledge,Amy S Bruckman,Not Available
The Invention of the Land of Israel: From Holy Land to Homeland,Shlomo Sand,Not Available
"Sister, Maiden, Monster",Lucy A. Snyder,Not Available
The Valancourt Book of Victorian Christmas Ghost Stories,"Walter Scott, Tara Moore",Not Available
Sunshine and Spice,Aurora Palit,Not Available
In the Shadow of the Fall,Tobi Ogundiran,Not Available
Magic Bites,Ilona Andrews,Not Available
Mutual Aid: Building Solidarity During This Crisis (and the Next),Dean Spade,Not Available
The Ballad of Black Tom,Victor LaValle,Not Available
The Maid and the Crocodile,Jordan Ifueko,Not Available
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",Robin Wall Kimmerer,Not Available
The Black Gryphon,"Mercedes Lackey, Larry Dixon",Not Available
"Witches, Sluts, Feminists: Conjuring the Sex Positive",Kristen J. Sollee,Not Available
The Notorious Lord Knightly,Lorraine Heath,Not Available
The Xibalba Murders,Lyn Hamilton,Not Available
Decoding Logical Fallacies: Master Critical Thinking: Overcome Common Pitfalls and Make Better Decisions,Richard L Axiom,Not Available
Captive Bride,Katharine Ashe,Not Available
It's Your Body: The Young Woman's Guide to Empowered Sexual Health,Dena Moes,Not Available
Sailing to Sarantium,Guy Gavriel Kay,Not Available
A Far Wilder Magic,Allison Saft,Not Available
Legendborn,Tracy Deonn,Not Available
The Women Could Fly,Megan Giddings,Not Available
How Fascism Works: The Politics of Us and Them,Jason Stanley,Not Available
PET,Akwaeke Emezi,Not Available
A Mind Spread Out on the Ground,Alicia Elliott,Not Available
The Immortal King Rao,Vauhini Vara,Not Available
Scattered Minds: The Origins and Healing of Attention Deficit Disorder,Gabor Maté,Not Available
"To Be Taught, If Fortunate",Becky Chambers,Not Available
Fair Play: A Game-Changing Solution for When You Have Too Much to Do (And More Life to Live),Eve Rodsky,Not Available
Watership Down,Richard Adams,Not Available
The Scoundrel Falls Hard,Sophie Jordan,Not Available
Ymir,Rich Larson,Not Available
Thistlefoot,GennaRose Nethercott,Not Available
Hamnet,Maggie O'Farrell,Not Available
Shark Heart: A Love Story,Emily Habeck,Not Available
Wings Once Cursed & Bound,Piper J. Drake,Not Available
Aisling: Breath of the New Creature,A.E. Jürgens,Not Available
There Is a Rio Grande in Heaven,Ruben Reyes Jr.,Not Available
Lysistrata,Aristophanes,Not Available
The Pisces,Melissa Broder,Not Available
Crying in H Mart,Michelle Zauner,Not Available
The Remarkable Retirement of Edna Fisher,E.M. Anderson,Not Available
New York 2140,Kim Stanley Robinson,Not Available
"Hey, Hun: Sales, Sisterhood, Supremacy, and the Other Lies Behind Multilevel Marketing",Emily Lynn Paulson,Not Available
Year of the Reaper,Makiia Lucier,Not Available
The Mists of Avalon,Marion Zimmer Bradley,Not Available
Sabriel,Garth Nix,Not Available
The Secret Service of Tea and Treason,India Holton,Not Available
All About Love: New Visions,bell hooks,Not Available
The Purpose of Power: How We Come Together When We Fall Apart,Alicia Garza,Not Available
The Only Good Indians,Stephen Graham Jones,Not Available
The Perfectionist's Guide to Losing Control: A Path to Peace and Power,Katherine Morgan Schafler,Not Available
It Happened One Fight,Maureen Lee Lenker,Not Available
"Mary Magdalene Revealed: The First Apostle, Her Feminist Gospel & the Christianity We Haven't Tried Yet",Meggan Watterson,Not Available
The Elements of Eloquence: How to Turn the Perfect English Phrase,Mark Forsyth,Not Available
The Murder of Roger Ackroyd & the Hollow Bundle,Agatha Christie,Not Available
In an Unspoken Voice: How the Body Releases Trauma and Restores Goodness,Peter A. Levine,Not Available
Inland,Téa Obreht,Not Available
She Who Became the Sun,Shelley Parker-Chan,Not Available
Family Lore,Elizabeth Acevedo,Not Available
Chlorine,Jade Song,Not Available
Nightbitch,Rachel Yoder,Not Available
Mechanic Shop Femme's Guide to Car Ownership: Uncomplicating Cars For All of Us,Chaya M. Milchtein,Not Available
X's For Eyes,Laird Barron,Not Available
The Eye of the World,Robert Jordan,Not Available
The Frugal Wizard's Handbook for Surviving Medieval England,Brandon Sanderson,Not Available
Behind the Throne,K.B. Wagers,Not Available
This World Is Not Yours,Kemi Ashing-Giwa,Not Available
Luna: Moon Rising,Ian McDonald,Not Available
Limitarianism: The Case Against Extreme Wealth,Ingrid Robeyns,Not Available
Emotional Labor: The Invisible Work Shaping Our Lives and How to Claim Our Power,Rose Hackman,Not Available
Born to Be Badger,Shelly Laurenston,Not Available
"Therapy is... Magic: An essential guide to the ups, downs and life-changing experiences of talking therapy",Jo Love,Not Available
Dawn,Octavia E. Butler,Not Available
Wake Up America: Black Women on the Future of Democracy,Keisha N. Blain,Not Available
Once Upon a Broken Heart,Stephanie Garber,Not Available
The Sisters Brothers,Patrick deWitt,Not Available
Inferno's Heir,Tiffany Wang,Not Available
The Dispossessed,Ursula K. Le Guin,Not Available
Tokyo Ueno Station,Yu Miri,Not Available
Queens of Jerusalem: The Women Who Dared to Rule,Katherine Pangonis,Not Available
Comfort Me with Apples,Catherynne M. Valente,Not Available
A Curse of Salt,Sarah Street,Not Available
A Slow Death: 83 Days of Radiation Sickness,NHK TV Crew,Not Available
Lobizona,Romina Garber,Not Available
Fablehaven,Brandon Mull,Not Available
A House with Good Bones,T. Kingfisher,Not Available
Water Shall Refuse Them,Lucie McKnight Hardy,Not Available
The Bridge Kingdom,Danielle L. Jensen,Not Available
We Have Always Lived in the Castle,Shirley Jackson,Not Available
Supper Club,Lara Williams,Not Available
Expecting Someone Taller,Tom Holt,Not Available
Social Movements: The Structure of Collective Mobilization,Paul Almeida,Not Available
Home,Nnedi Okorafor,Not Available
American Gods,Neil Gaiman,Not Available
The Free People's Village,Sim Kern,Not Available
The Singles Table,Sara Desai,Not Available
For the Love of Men: A New Vision for Mindful Masculinity,Liz Plank,Not Available
Remote Control,Nnedi Okorafor,Not Available
"A Radical Guide for Women with ADHD: Embrace Neurodiversity, Live Boldly, and Break Through Barriers","Michelle Frank, Sari Solden",Not Available
Defekt,Nino Cipri,Not Available
Devil's Bride,Stephanie Laurens,Not Available
Wuthering Heights,Emily Brontë,Not Available
The Father Christmas Letters,"J.R.R. Tolkien, Baillie Tolkien",Not Available
The Deepest Well: Healing the Long-Term Effects of Childhood Adversity,Nadine Burke Harris,Not Available
Sisters of the Lost Nation,Nick Medina,Not Available
Strongmen: Mussolini to the Present,Ruth Ben-Ghiat,Not Available
The Ghosts of Rose Hill,R.M. Romero,Not Available
Find Your Unicorn Space: Reclaim Your Creative Life in a Too-Busy World,Eve Rodsky,Not Available
"Adult Children of Emotionally Immature Parents: how to heal from distant, rejecting, or self-Involved-parents",Lindsay C. Gibson,Not Available
The Last Murder at the End of the World,Stuart Turton,Not Available
How to ADHD: An Insider's Guide to Working with Your Brain (Not Against It),Jessica McCabe,Not Available
La Vie de Guinevere,Paula Lafferty,Not Available
The Bear and the Nightingale,Katherine Arden,Not Available
Lucky Red,Claudia Cravens,Not Available
Nothing But Blackened Teeth,Cassandra Khaw,Not Available
Romancing Miss Stone,M.C. Vaughan,Not Available
The Archive Undying,Emma Mieko Candon,Not Available
Not the End of the World: How We Can Be the First Generation to Build a Sustainable Planet,Hannah Ritchie,Not Available
Birthright of Scars: Rising,Laurisa Brandt,Not Available
Scythe,Neal Shusterman,Not Available
The Bullet Swallower,Elizabeth Gonzalez James,Not Available
When We Were Birds,Ayanna Lloyd Banwo,Not Available
A Lot of People Live in This House,Bailey Merlin,Not Available
"How We Show Up: Reclaiming Family, Friendship, and Community",Mia Birdsong,Not Available
Drinks and Sinkholes,S. Usher Evans,Not Available
Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,Not Available
A Land with a People: Palestinians and Jews Confront Zionism,"Rosalind Pollack Petchesky, Esther Farmer, Sarah Sills",Not Available
The Haunting of Tram Car 015,P. Djèlí Clark,Not Available
Sleepless Volume 1,Sarah Vaughn,Not Available
The Centre,Ayesha Manazir Siddiqi,Not Available
Nevada,Imogen Binnie,Not Available
Foundation,Isaac Asimov,Not Available
The Pomegranate Gate,Ariel Kaplan,Not Available
Love and Other Conspiracies,Mallory Marlowe,Not Available
Twilight of Democracy: The Seductive Lure of Authoritarianism,Anne Applebaum,Not Available
The Green Man of Eshwood Hall,Jacob Kerr,Not Available
The Great Beanie Baby Bubble: Mass Delusion and the Dark Side of Cute,Zac Bissonnette,Not Available
Temporary,Hilary Leichter,Not Available
The Mimicking of Known Successes,Malka Older,Not Available
Fortune's Pawn,Rachel Bach,Not Available
Carmilla,J. Sheridan Le Fanu,Not Available
Eragon,Christopher Paolini,Not Available
Darius the Great Is Not Okay,Adib Khorram,Not Available
How to Know a Person: The Art of Seeing Others Deeply and Being Deeply Seen,David Brooks,Not Available
And Every Morning the Way Home Gets Longer and Longer,Fredrik Backman,Not Available
Who Cooked the Last Supper?: The Women's History of the World,Rosalind Miles,Not Available
The Wedding People,Alison Espach,Not Available
I'm in Love with Mothman,Paige Lavoie,Not Available
Caressed by Ice,Nalini Singh,Not Available
Early Riser,Jasper Fforde,Not Available
The Radium Girls: The Dark Story of America's Shining Women,Kate Moore,Not Available
The History of Mr. Polly,H.G. Wells,Not Available
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,Not Available
My Best Friend's Exorcism,Grady Hendrix,Not Available
Against Technoableism: Rethinking Who Needs Improvement,Ashley Shew,Not Available
The Hall of the Mountain King,Judith Tarr,Not Available
"Bite Me, Your Grace",Brooklyn Ann,Not Available
Waking the Tiger: Healing Trauma: The Innate Capacity to Transform Overwhelming Experiences,Peter A. Levine,Not Available
Cranford,Elizabeth Gaskell,Not Available
The Name of the Wind,Patrick Rothfuss,Not Available
The Great Cosmic Mother: Rediscovering the Religion of the Earth,"Barbara Mor, Monica Sjoo",Not Available
Odd Blood,Azalea Crowley,Not Available
Fearing the Black Body: The Racial Origins of Fat Phobia,Sabrina Strings,Not Available
This Book Is Gay (Revised and Updated),Juno Dawson,Not Available
Our Share of Night: A Novel,"Mariana Enríquez, Megan McDowell",Not Available
The Secret Lives of Color,Kassia St. Clair,Not Available
Taaqtumi: An Anthology of Arctic Horror Stories,"Thomas Anguti Johnston, Cara Bryant, Gayle Kabloona, Ann R. Loverock, K.C. Carthew, Repo Kempt, Jay Bulckaert, Rachel Qitsualik-Tinsley, Aviaq Johnston, Richard Van Camp, Sean Qitsualik-Tinsley",Not Available
Check & Mate,Ali Hazelwood,Not Available
Ghost Work: How to Stop Silicon Valley from Building a New Global Underclass,"Mary L. Gray, Siddharth Suri",Not Available
The Best American Science Fiction and Fantasy 2023,"R.F. Kuang, John Joseph Adams",Not Available
The Goblin Emperor,Katherine Addison,Not Available
The Alpha of Bleake Isle,Kathryn Moon,Available
The Bible Says So: What We Get Right (and Wrong) About Scripture's Most Controversial Issues,Dan McClellan,Not Available
Snowed Inn (With a Demon),L.E. Eldridge,Available
The Mere Wife,Maria Dahvana Headley,Not Available
The End of Policing,Alex S. Vitale,Not Available
Star Splitter,Matthew J. Kirby,Not Available
The Day the World Stops Shopping: How Ending Consumerism Saves the Environment and Ourselves,J.B. MacKinnon,Not Available
Hall of Smoke,H.M. Long,Not Available
Paradise-1,David Wellington,Not Available
Bound by Treason,Eliza Tilton,Available
A Natural History of Dragons,Marie Brennan,Available
Calamity,Constance Fay,Available
Engineering Fate,Alexis B. Osborne,Available
Most Ardently,Gabe Cole Novoa,Available
The Deep,Rivers Solomon,Available
For Never & Always,Helena Greer,Not Available
The Water Outlaws,S.L. Huang,Not Available
Aicha Kandicha,Soraya Bouazzaoui,Not Available
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,Available
Bull Moon Rising,Ruby Dixon,Not Available
The Highwayman,Kerrigan Byrne,Available
All's Well,Mona Awad,Not Available
Empire of the Vampire,Jay Kristoff,Available
On Our Best Behavior: The Seven Deadly Sins and the Price Women Pay to Be Good,Elise Loehnen,Not Available
Hogfather,Terry Pratchett,Not Available
The Fall of Roe: The Rise of a New America,"Elizabeth Dias, Lisa Lerer",Not Available
The Seven Year Slip,Ashley Poston,Not Available
Looking for Smoke,K.A. Cobell,Not Available
Hell Followed with Us,Andrew Joseph White,Not Available
A Demon's Guide to Wooing a Witch,Sarah Hawley,Not Available
The Subversive Stitch: Embroidery and the Making of the Feminine,Rozsika Parker,Not Available
Theirs to Protect,Stasia Black,Available
Exhalation,Ted Chiang,Not Available
Annihilation,Jeff VanderMeer,Not Available
The Death I Gave Him,Em X. Liu,Not Available
"Sunflowers, Scarecrows and Scandal",Erica Wynters,Not Available
A Forbidden Fate,Kaven Hirning,Available
Monstrilio,Gerardo Sámano Córdova,Not Available
The Last Wish: Introducing the Witcher,Andrzej Sapkowski,Not Available
The Gospel of Mary of Magdala,Karen L. King,Not Available
Pride and Prejudice in Space,Alexis Lampley,Not Available
"Sword Stone Table: Old Legends, New Voices","Swapna Krishna, Jenn Northington",Not Available
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Not Available
Lady Susan,Jane Austen,Not Available
